1;Неожиданный поворот;2022-03-28 13:10:00;Стало намного лучше чем раньше - заявляет генеральный директор...;http://www.ip.biz/;The Wall Street Journal;714
2;Только что появился;2022-05-08 10:41:55;Производство налаживается соответственно дальнейнише возможности...;http://ip.biz/;РосБизнесКонсалтинг;307
3;Достаточно ли вы знаете?;2021-06-22 07:57:24;В связи с пандемией заводы компании будут остановлены соответветственно...;http://www.npo.ru/;Financial Times;824
4;Ужасные новости;2021-01-06 03:17:21;Ровно в эту минуту на заводе произошло ЧП;https://www.ip.org/;The Times of India;4
5;Шокирующая правда;2021-10-03 19:10:34;На днях мы получили известия о ...;https://npo.info/;The Daily Telegraph;628
6;Ужасные новости;2021-11-07 11:24:17;Все данные о сотрудниках являются откровенной правдой - заявляет пресс-секретарь...;https://www.yamal.ru/;ТАСС;821
7;Сокрушающий эффект;2021-05-18 02:58:47;Не для кого уже не секрет, что эта компания занимает лидерские позиции в области...;http://www.belaz-24.edu/;РИА Новости;229
8;Один из лучших;2021-07-05 20:58:08;Инвесторы ожидают прорыв компании на горизонте ...;https://ip.edu/;Regnum;89
9;Один из лучших;2022-03-06 06:35:17;На днях мы получили известия о ...;http://www.td.net/;Ура.ру;599
10;Что скрывается за дверью?;2021-10-18 19:13:47;Не для кого уже не секрет, что эта компания занимает лидерские позиции в области...;http://npo.org/;Sputnik;252
11;Что на самом деле означает;2022-02-26 01:19:02;В эту неделю на складе произошел пожар...;http://oao.org/;Вести.ru;688
12;ТАКОГО ЕЩЕ НЕ БЫЛО!;2022-01-04 16:33:10;Сегодня стало известо о провальной операции...;https://www.oao.biz/;ТАСС;210
13;Достоинства и недостатки;2021-06-24 09:20:36;Все данные о сотрудниках являются откровенной правдой - заявляет пресс-секретарь...;http://www.ip.com/;Sputnik;601
14;СЕНСАЦИЯ!;2021-04-02 15:54:25;Стало известо о печальных последствиях...;http://www.gerasimova.org/;The Daily Telegraph;446
15;Неожиданный поворот;2022-04-26 00:01:43;В связи с пандемией заводы компании будут остановлены соответветственно...;https://ooo.biz/;Газета.ru;865
16;Шокирующая правда;2021-11-02 04:45:41;В связи с пандемией заводы компании будут остановлены соответветственно...;http://rusal.edu/;China Daily;515
17;Закулисные тайны;2021-12-12 06:18:53;Сегодня стало известо о провальной операции...;https://www.rao.edu/;China Daily;567
18;Совершен прорыв;2021-11-20 19:14:20;Все данные о сотрудниках являются откровенной правдой - заявляет пресс-секретарь...;http://npo.org/;Эхо Москвы;607
19;Коротко о главном;2021-02-07 05:13:19;Ровно в эту минуту на заводе произошло ЧП;http://bespalov.biz/;China Daily;723
20;НОВИНКА!;2021-05-16 09:33:31;Стало известо о печальных последствиях...;http://www.oao.info/;The Wall Street Journal;327
21;Достаточно ли вы знаете?;2021-01-15 02:05:12;Все уже стали забывать, насколько эта компания масштабна в пределах страны...;http://www.ponomareva.info/;Комсомольская правда;213
22;Сокрушающий эффект;2021-11-05 04:49:42;Большая часть клиентов опсается, что масштабная политика ...;https://zao.edu/;Московский Комсомолец;935
23;Свершилось чудо;2021-10-13 05:11:26;Не для кого уже не секрет, что эта компания занимает лидерские позиции в области...;https://gruppa.org/;The Times of India;545
24;Достаточно ли вы знаете?;2021-08-26 10:22:12;Большая часть клиентов опсается, что масштабная политика ...;http://www.gordeeva.info/;Russia Today;257
25;НОВИНКА!;2021-02-28 11:08:05;Ровно в эту минуту на заводе произошло ЧП;http://dsk.ru/;RT;804
